,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
69,70.0,Jaylen Waddle,MIA,WR,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,75.0,52.0,691.0,13.29,3.0,0.0,0.0,3.0,,,88.0,140.1,143.1,114.1,2.0,28.0,70.0,WaddJa00
70,71.0,David Njoku,CLE,TE,27.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,78.0,51.0,492.0,9.65,2.0,1.0,1.0,2.0,,,59.0,110.2,114.2,84.7,2.0,10.0,71.0,NjokDa00
71,72.0,Terry McLaurin,WAS,WR,28.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,60.0,694.0,11.57,2.0,0.0,0.0,3.0,,,87.0,147.4,150.4,117.4,2.0,29.0,72.0,McLaTe00
72,73.0,Trey McBride,ARI,TE,24.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,48.0,521.0,10.85,1.0,0.0,0.0,1.0,,,58.0,106.1,109.1,82.1,1.0,11.0,73.0,McBrTr01
73,74.0,Rhamondre Stevenson,NWE,RB,25.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,147.0,580.0,3.95,4.0,50.0,37.0,238.0,6.43,0.0,0.0,0.0,4.0,,,106.0,142.8,148.8,124.3,1.0,23.0,74.0,StevRh00
74,75.0,Dalton Kincaid,BUF,TE,24.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,56.0,474.0,8.46,2.0,1.0,1.0,2.0,,,57.0,113.4,117.4,85.4,,12.0,75.0,KincDa00
75,76.0,Henry Pearson,GNB,,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,1.0,76.0,PearHe00
76,77.0,Alvin Kamara,NOR,RB,28.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,119.0,457.0,3.84,2.0,61.0,54.0,355.0,6.57,1.0,0.0,0.0,3.0,3.0,,105.0,159.2,165.2,132.2,,24.0,77.0,KamaAl00
77,78.0,Jared Goff,DET,QB,29.0,11.0,11.0,275.0,405.0,3075.0,18.0,8.0,26.0,23.0,0.88,2.0,0.0,0.0,0.0,,0.0,5.0,3.0,2.0,,2.0,191.0,191.3,205.3,199.3,,12.0,78.0,GoffJa00
78,79.0,Tua Tagovailoa,MIA,QB,25.0,11.0,11.0,263.0,377.0,3177.0,22.0,10.0,27.0,40.0,1.48,0.0,0.0,0.0,0.0,,0.0,10.0,4.0,0.0,,,191.0,191.1,208.1,201.1,,13.0,,TagoTu00
79,80.0,Russell Wilson,DEN,QB,35.0,11.0,11.0,218.0,319.0,2199.0,20.0,4.0,53.0,266.0,5.02,1.0,0.0,0.0,0.0,,0.0,7.0,4.0,1.0,,,185.0,184.6,198.6,188.6,,14.0,,WilsRu00
80,81.0,Trevor Lawrence,JAX,QB,24.0,11.0,11.0,249.0,370.0,2746.0,12.0,7.0,51.0,240.0,4.71,3.0,0.0,0.0,0.0,,0.0,7.0,4.0,3.0,,1.0,180.0,179.8,196.8,186.8,,15.0,,LawrTr00
81,82.0,Baker Mayfield,TAM,QB,28.0,11.0,11.0,246.0,380.0,2588.0,17.0,7.0,44.0,153.0,3.48,0.0,0.0,0.0,0.0,,0.0,7.0,2.0,0.0,,2.0,173.0,172.8,187.8,179.8,,16.0,,MayfBa00
82,83.0,Kirk Cousins,MIN,QB,35.0,8.0,8.0,216.0,311.0,2331.0,18.0,5.0,14.0,25.0,1.79,0.0,0.0,0.0,0.0,,0.0,7.0,4.0,0.0,,,150.0,149.7,161.7,154.7,,17.0,,CousKi00
83,84.0,Joe Burrow,CIN,QB,27.0,10.0,10.0,244.0,365.0,2309.0,15.0,6.0,31.0,88.0,2.84,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,,,147.0,147.2,157.2,153.2,,18.0,,BurrJo01
84,85.0,Matthew Stafford,LAR,QB,35.0,10.0,10.0,208.0,342.0,2489.0,13.0,9.0,16.0,71.0,4.44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,145.0,144.7,156.7,153.7,,19.0,,StafMa00
85,86.0,Geno Smith,SEA,QB,33.0,11.0,11.0,236.0,361.0,2584.0,12.0,8.0,28.0,86.0,3.07,0.0,1.0,1.0,-2.0,-2.0,0.0,3.0,2.0,0.0,,1.0,142.0,142.8,155.8,150.3,,20.0,,SmitGe00
86,87.0,Justin Fields,CHI,QB,24.0,8.0,8.0,143.0,222.0,1587.0,12.0,6.0,77.0,400.0,5.19,1.0,0.0,0.0,0.0,,0.0,7.0,4.0,1.0,,,137.0,137.5,153.5,143.5,,21.0,,FielJu00
87,88.0,Derek Carr,NOR,QB,32.0,11.0,11.0,244.0,372.0,2535.0,10.0,5.0,21.0,40.0,1.9,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,0.0,,1.0,133.0,133.4,143.4,138.4,,22.0,,CarrDe02
88,89.0,Desmond Ridder,ATL,QB,24.0,10.0,9.0,174.0,267.0,1908.0,7.0,8.0,39.0,180.0,4.62,4.0,1.0,1.0,-6.0,-6.0,0.0,7.0,6.0,4.0,,1.0,120.0,120.7,140.7,128.2,,23.0,,RiddDe00
89,90.0,Gardner Minshew II,IND,QB,27.0,11.0,7.0,187.0,297.0,1972.0,8.0,7.0,20.0,50.0,2.5,3.0,0.0,0.0,0.0,,0.0,6.0,4.0,3.0,,,112.0,111.9,125.9,118.9,,24.0,,MinsGa00
90,91.0,Kenny Pickett,PIT,QB,25.0,11.0,11.0,194.0,314.0,2000.0,6.0,4.0,39.0,51.0,1.31,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,107.0,107.1,114.1,111.1,,25.0,,PickKe00
91,92.0,Mac Jones,NWE,QB,25.0,11.0,11.0,224.0,345.0,2120.0,10.0,12.0,26.0,96.0,3.69,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,0.0,,,106.0,106.4,123.4,118.4,,26.0,,JoneMa05
