Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
332,Robert Tonyan,CHI,TE,29,6,2,0,0,0,0,0,0,0,,0,7,5,39,7.80,0,0,0,0,,,4,8.9,8.9,6.4,,65,,TonyRo00
333,P.J. Walker,CLE,QB,28,1,1,18,34,192,0,2,3,1,0.33,0,0,0,0,,0,0,0,0,,,4,3.8,5.8,5.8,,41,,WalkPh00
334,Mike White,MIA,QB,28,2,0,2,3,67,1,1,4,-5,-1.25,0,0,0,0,,0,0,0,0,,,4,4.2,5.2,5.2,,39,,WhitMi01
335,Damien Williams,ARI,RB,31,1,0,0,0,0,0,0,8,36,4.50,0,1,1,8,8.00,0,0,0,0,,,4,5.4,5.4,4.9,,89,,WillDa05
336,Brock Wright,DET,TE,25,6,2,0,0,0,0,0,0,0,,0,6,6,40,6.67,0,0,0,0,,,4,10.0,10.0,7.0,,64,,WrigBr01
337,Jamal Agnew,JAX,WR,28,5,0,0,0,0,0,0,3,-1,-0.33,0,6,5,54,10.80,0,1,1,0,,,3,8.3,9.3,5.8,,138,,AgneJa00
338,David Bell,CLE,WR,23,5,0,0,0,0,0,0,0,0,,0,7,4,33,8.25,0,0,0,0,,,3,7.3,7.3,5.3,,139,,BellDa02
339,Khari Blasingame,CHI,RB,27,6,1,0,0,0,0,0,8,26,3.25,0,2,1,1,1.00,0,0,0,0,,,3,3.7,3.7,3.2,,102,,BlasKh00
340,Mike Boone,HOU,RB,28,5,0,0,0,0,0,0,2,15,7.50,0,4,3,18,6.00,0,1,0,0,,,3,6.3,6.3,4.8,,93,,BoonMi00
341,Michael Burton,DEN,RB,31,6,0,0,0,0,0,0,3,5,1.67,0,1,1,3,3.00,0,0,0,0,1,,3,3.8,3.8,3.3,,97,,BurtMi00
342,DeeJay Dallas,SEA,RB,25,5,0,0,0,0,0,0,5,14,2.80,0,4,3,11,3.67,0,0,0,0,,,3,5.5,5.5,4.0,,104,,DallDe00
343,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,73,,DulcGr00
344,Darrynton Evans,CHI,RB,25,1,0,0,0,0,0,0,9,32,3.56,0,1,1,2,2.00,0,0,0,0,,,3,4.4,4.4,3.9,,92,,EvanDa02
345,Luke Farrell,JAX,TE,26,6,3,0,0,0,0,0,0,0,,0,4,4,30,7.50,0,0,0,0,,,3,7.0,7.0,5.0,,71,,FarrLu00
346,Marquise Goodwin,CLE,WR,33,5,0,0,0,0,0,0,2,21,10.50,0,7,2,4,2.00,0,0,0,0,,,3,4.5,4.5,3.5,,143,,GoodMa00
347,Eric Gray,NYG,RB,24,6,0,0,0,0,0,0,13,27,2.08,0,1,1,1,1.00,0,2,0,0,,,3,3.8,3.8,3.3,,98,,GrayEr01
348,Brycen Hopkins,LAR,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,72,,HopkBr01
349,Velus Jones Jr.,CHI,WR,26,5,0,0,0,0,0,0,4,22,5.50,0,1,1,5,5.00,0,0,0,0,,,3,3.7,3.7,3.2,,142,,JoneVe00
350,Isaiah Likely,BAL,TE,23,6,3,0,0,0,0,0,0,0,,0,4,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,69,,LikeIs00
